溯源批次码,作物名称,生产省份,生产县区,基地经度,基地纬度,种植日期,全流程农事操作记录,采摘完成时刻,采摘重量(kg),加工中心,加工厂经纬度,加工具体工序,加工开始时刻,加工结束时刻,存储仓库ID,仓库类型,入库时刻,出库时刻,仓储温湿度环境,物流运单号,运输车辆类型,物流作业要求,发货起运时刻,终端签收时刻,销售城市,销售区县网点,网点经度,网点纬度,终端上架时刻
CN-AG-202410-11055,水稻,辽宁省,盘山县,122.053637,41.216933,2024-05-31,2024-05-31 [播种育秧] -> 2024-06-23 [田间底肥] -> 2024-07-16 [插秧作业] -> 2024-08-08 [分蘖期灌溉] -> 2024-08-31 [除草控虫] -> 2024-09-23 [晒田补肥],2024-10-20 17:27,12540.92,盘山县第3深加工基地,"122.046198,41.247959",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-22 21:27,2024-10-23 03:34,WH-CN-550,平房仓(准低温),2024-10-23 09:34,2024-11-13 09:34,准低温低氧控制,LOG-CN-13406459668,散粮车,"防潮, 湿度<14%",2024-11-14 00:34,2024-11-15 01:55,广州市,天河区,113.33,23.13,2024-11-16 01:55
CN-AG-202407-11056,大麦,甘肃省,民乐县,100.837627,38.439976,2024-04-04,2024-04-04 [翻耕播种] -> 2024-04-29 [分蘖期施氮] -> 2024-05-24 [化学除草] -> 2024-06-18 [灌浆期监控],2024-07-16 14:19,23703.21,民乐县第3深加工基地,"100.812819,38.427296",杂质清理->脱壳处理->分级磨皮->包装,2024-07-19 18:19,2024-07-19 23:59,WH-CN-106,平房仓,2024-07-20 06:59,2024-09-06 06:59,避光控温控制,LOG-CN-49243888778,散装车,防霉通风,2024-09-06 14:59,2024-09-08 03:53,南京市,江宁区,118.83,31.95,2024-09-09 03:53
CN-AG-202408-11057,花生,山东省,平度市,119.912792,36.775942,2024-04-02,2024-04-02 [清棵蹲苗] -> 2024-04-26 [培土迎葑] -> 2024-05-20 [钙镁肥补充] -> 2024-06-13 [下针期控旺] -> 2024-07-07 [地下虫害防治],2024-08-04 10:44,37525.35,平度市第4深加工基地,"119.951129,36.784035",剥壳分选->烘炒->压榨提取->物理精炼,2024-08-05 12:44,2024-08-05 21:33,WH-CN-342,避光库房,2024-08-06 04:33,2024-09-10 04:33,避光控温控制,LOG-CN-29929045573,厢式货车,避光防潮,2024-09-10 12:33,2024-09-12 00:32,广州市,番禺区,113.38,22.93,2024-09-13 00:32
CN-AG-202405-11058,油菜籽,四川省,安岳县,105.379361,30.083035,2023-10-10,2023-10-10 [育苗移栽] -> 2023-12-01 [越冬防冻肥] -> 2024-01-22 [薹期水肥调节] -> 2024-03-14 [菌核病无人机防治],2024-05-06 14:49,28400.77,安岳县第2深加工基地,"105.326315,30.090419",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-08 20:49,2024-05-09 02:16,WH-CN-797,恒温罐区,2024-05-09 14:16,2024-06-08 14:16,避光控温控制,LOG-CN-60859706295,罐式车,"避光, 防氧化",2024-06-09 01:16,2024-06-10 22:27,武汉市,东西湖区,114.13,30.62,2024-06-13 22:27
CN-AG-202409-11059,玉米,辽宁省,黑山县,122.151983,41.636826,2024-05-26,2024-05-26 [免耕直播] -> 2024-06-17 [苗期中耕] -> 2024-07-09 [喇叭口期追肥] -> 2024-07-31 [大斑病防治] -> 2024-08-22 [人工授粉辅助],2024-09-13 09:32,6650.73,黑山县第3深加工基地,"122.116627,41.694042",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-17 13:32,2024-09-17 21:16,WH-CN-713,现代化圆筒仓,2024-09-18 02:16,2024-10-26 02:16,避光控温控制,LOG-CN-44758080013,重型散粮卡车,"通风良好, 严控高温",2024-10-26 13:16,2024-10-27 19:49,上海市,浦东新区,121.54,31.22,2024-10-30 19:49
CN-AG-202409-11060,花生,江苏省,东海县,118.757512,34.56108,2024-05-12,2024-05-12 [清棵蹲苗] -> 2024-06-05 [培土迎葑] -> 2024-06-29 [钙镁肥补充] -> 2024-07-23 [下针期控旺] -> 2024-08-16 [地下虫害防治],2024-09-09 15:14,9167.89,东海县第5深加工基地,"118.769084,34.545125",剥壳分选->烘炒->压榨提取->物理精炼,2024-09-11 19:14,2024-09-12 04:19,WH-CN-407,避光库房,2024-09-12 10:19,2024-10-11 10:19,避光控温控制,LOG-CN-91518403234,厢式货车,避光防潮,2024-10-11 20:19,2024-10-13 11:12,西安市,长安区,108.87,34.15,2024-10-15 11:12
CN-AG-202411-11061,棉花,江苏省,射阳县,120.302168,33.739474,2024-05-19,2024-05-19 [覆膜播种] -> 2024-06-24 [人工打顶] -> 2024-07-30 [叶面喷施补硼] -> 2024-09-04 [枯萎病监测] -> 2024-10-10 [喷施脱叶剂],2024-11-10 17:13,19744.99,射阳县第1深加工基地,"120.242409,33.745018",皮棉清理->锯齿轧花->纤维分级->压力打包,2024-11-13 20:13,2024-11-14 02:53,WH-CN-804,专业纤维库,2024-11-14 14:53,2024-12-28 14:53,避光控温控制,LOG-CN-40928228049,高栏平板车,"严禁烟火, 防静电, 干燥",2024-12-28 23:53,2024-12-30 15:26,北京市,朝阳区,116.48,39.92,2024-12-31 15:26
CN-AG-202410-11062,水稻,四川省,三台县,105.146319,31.100145,2024-05-12,2024-05-12 [播种育秧] -> 2024-06-04 [田间底肥] -> 2024-06-27 [插秧作业] -> 2024-07-20 [分蘖期灌溉] -> 2024-08-12 [除草控虫] -> 2024-09-04 [晒田补肥],2024-10-02 16:30,33952.35,三台县第4深加工基地,"105.081241,31.087557",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-04 22:30,2024-10-05 01:34,WH-CN-288,平房仓(准低温),2024-10-05 10:34,2024-10-26 10:34,准低温低氧控制,LOG-CN-53218515911,散粮车,"防潮, 湿度<14%",2024-10-26 23:34,2024-10-29 00:34,西安市,长安区,108.87,34.15,2024-10-31 00:34
CN-AG-202406-11063,小麦,新疆维吾尔自治区,奇台县,89.590712,44.000717,2023-11-06,2023-11-06 [深耕整地] -> 2023-12-14 [秋播种子处理] -> 2024-01-21 [越冬水灌溉] -> 2024-02-28 [拔节期追肥] -> 2024-04-06 [条锈病防治] -> 2024-05-14 [干热风防护],2024-06-23 12:26,17468.42,奇台县第4深加工基地,"89.593162,44.013238",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-25 16:26,2024-06-26 01:09,WH-CN-292,钢板筒仓,2024-06-26 08:09,2024-08-05 08:09,准低温低氧控制,LOG-CN-45616176788,全封闭货车,"干燥, 禁止异味混载",2024-08-05 22:09,2024-08-09 23:04,北京市,朝阳区,116.48,39.92,2024-08-10 23:04
CN-AG-202409-11064,玉米,河北省,藁城区,114.834209,38.08973,2024-06-05,2024-06-05 [免耕直播] -> 2024-06-27 [苗期中耕] -> 2024-07-19 [喇叭口期追肥] -> 2024-08-10 [大斑病防治] -> 2024-09-01 [人工授粉辅助],2024-09-24 15:28,9779.31,藁城区第5深加工基地,"114.838014,38.027095",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-26 21:28,2024-09-27 06:52,WH-CN-689,现代化圆筒仓,2024-09-27 16:52,2024-11-13 16:52,避光控温控制,LOG-CN-97514556824,重型散粮卡车,"通风良好, 严控高温",2024-11-14 01:52,2024-11-16 04:44,上海市,闵行区,121.38,31.11,2024-11-18 04:44
CN-AG-202406-11065,小麦,江苏省,兴化市,119.895993,32.883818,2023-10-12,2023-10-12 [深耕整地] -> 2023-11-19 [秋播种子处理] -> 2023-12-27 [越冬水灌溉] -> 2024-02-03 [拔节期追肥] -> 2024-03-12 [条锈病防治] -> 2024-04-19 [干热风防护],2024-06-02 17:37,36707.23,兴化市第3深加工基地,"119.847745,32.928297",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-03 19:37,2024-06-03 23:04,WH-CN-267,钢板筒仓,2024-06-04 03:04,2024-07-18 03:04,准低温低氧控制,LOG-CN-83379449156,全封闭货车,"干燥, 禁止异味混载",2024-07-18 12:04,2024-07-22 13:05,武汉市,江岸区,114.3,30.59,2024-07-25 13:05
CN-AG-202405-11066,油菜籽,湖南省,桃源县,111.473044,28.919163,2023-10-14,2023-10-14 [育苗移栽] -> 2023-12-05 [越冬防冻肥] -> 2024-01-26 [薹期水肥调节] -> 2024-03-18 [菌核病无人机防治],2024-05-10 10:41,17974.93,桃源县第2深加工基地,"111.471229,28.902965",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-14 14:41,2024-05-14 23:27,WH-CN-674,恒温罐区,2024-05-15 11:27,2024-06-27 11:27,避光控温控制,LOG-CN-55055402206,罐式车,"避光, 防氧化",2024-06-28 02:27,2024-07-02 22:56,成都市,新都区,104.15,30.82,2024-07-05 22:56
CN-AG-202405-11067,油菜籽,四川省,安岳县,105.38286,30.137647,2023-10-16,2023-10-16 [育苗移栽] -> 2023-12-07 [越冬防冻肥] -> 2024-01-28 [薹期水肥调节] -> 2024-03-20 [菌核病无人机防治],2024-05-17 09:53,34600.49,安岳县第1深加工基地,"105.339091,30.102975",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-18 12:53,2024-05-18 16:36,WH-CN-939,恒温罐区,2024-05-18 21:36,2024-06-25 21:36,避光控温控制,LOG-CN-49245946547,罐式车,"避光, 防氧化",2024-06-26 11:36,2024-06-30 17:18,西安市,长安区,108.87,34.15,2024-07-03 17:18
CN-AG-202410-11068,水稻,湖北省,监利市,112.89729,29.788172,2024-05-16,2024-05-16 [播种育秧] -> 2024-06-08 [田间底肥] -> 2024-07-01 [插秧作业] -> 2024-07-24 [分蘖期灌溉] -> 2024-08-16 [除草控虫] -> 2024-09-08 [晒田补肥],2024-10-03 15:00,23307.53,监利市第4深加工基地,"112.901635,29.832036",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-06 19:00,2024-10-07 00:18,WH-CN-635,平房仓(准低温),2024-10-07 05:18,2024-11-03 05:18,准低温低氧控制,LOG-CN-19040095076,散粮车,"防潮, 湿度<14%",2024-11-03 18:18,2024-11-08 20:13,深圳市,南山区,113.93,22.54,2024-11-09 20:13
CN-AG-202406-11069,小麦,新疆维吾尔自治区,奇台县,89.57057,44.008175,2023-10-21,2023-10-21 [深耕整地] -> 2023-11-28 [秋播种子处理] -> 2024-01-05 [越冬水灌溉] -> 2024-02-12 [拔节期追肥] -> 2024-03-21 [条锈病防治] -> 2024-04-28 [干热风防护],2024-06-07 16:32,14628.58,奇台县第3深加工基地,"89.587835,44.012536",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-11 22:32,2024-06-12 02:00,WH-CN-690,钢板筒仓,2024-06-12 07:00,2024-07-28 07:00,准低温低氧控制,LOG-CN-13526452373,全封闭货车,"干燥, 禁止异味混载",2024-07-28 20:00,2024-08-03 06:34,深圳市,宝安区,113.88,22.55,2024-08-04 06:34
CN-AG-202405-11070,油菜籽,四川省,中江县,104.698124,30.989519,2023-10-23,2023-10-23 [育苗移栽] -> 2023-12-14 [越冬防冻肥] -> 2024-02-04 [薹期水肥调节] -> 2024-03-27 [菌核病无人机防治],2024-05-15 15:36,8130.06,中江县第3深加工基地,"104.661171,31.024177",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-18 19:36,2024-05-18 23:21,WH-CN-862,恒温罐区,2024-05-19 11:21,2024-06-25 11:21,避光控温控制,LOG-CN-85181652591,罐式车,"避光, 防氧化",2024-06-25 20:21,2024-06-28 01:13,南京市,南京浦口区,118.62,32.05,2024-06-30 01:13
CN-AG-202409-11071,大豆,黑龙江省,富锦市,132.041428,47.256284,2024-05-26,2024-05-26 [拌种包衣] -> 2024-06-20 [等距点播] -> 2024-07-15 [结荚期根外追肥] -> 2024-08-09 [食心虫绿色防控] -> 2024-09-03 [除草中耕],2024-09-25 13:12,9397.76,富锦市第5深加工基地,"132.03154,47.257438",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-29 15:12,2024-09-30 00:04,WH-CN-585,不锈钢储油罐区,2024-09-30 05:04,2024-10-17 05:04,准低温低氧控制,LOG-CN-28500029501,罐式车,"避光, 控温25℃下",2024-10-17 12:04,2024-10-18 13:19,深圳市,宝安区,113.88,22.55,2024-10-21 13:19
CN-AG-202410-11072,玉米,四川省,三台县,105.126361,31.071458,2024-06-15,2024-06-15 [免耕直播] -> 2024-07-07 [苗期中耕] -> 2024-07-29 [喇叭口期追肥] -> 2024-08-20 [大斑病防治] -> 2024-09-11 [人工授粉辅助],2024-10-04 11:46,7134.88,三台县第2深加工基地,"105.081586,31.090806",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-05 17:46,2024-10-05 20:46,WH-CN-406,现代化圆筒仓,2024-10-06 08:46,2024-11-05 08:46,避光控温控制,LOG-CN-37749949218,重型散粮卡车,"通风良好, 严控高温",2024-11-05 15:46,2024-11-06 21:04,上海市,宝山区,121.48,31.4,2024-11-08 21:04
CN-AG-202406-11073,小麦,河北省,宁晋县,114.968962,37.627902,2023-11-08,2023-11-08 [深耕整地] -> 2023-12-16 [秋播种子处理] -> 2024-01-23 [越冬水灌溉] -> 2024-03-01 [拔节期追肥] -> 2024-04-08 [条锈病防治] -> 2024-05-16 [干热风防护],2024-06-23 16:31,19033.01,宁晋县第2深加工基地,"114.915927,37.617926",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-27 21:31,2024-06-28 01:12,WH-CN-314,钢板筒仓,2024-06-28 12:12,2024-07-13 12:12,准低温低氧控制,LOG-CN-41581881750,全封闭货车,"干燥, 禁止异味混载",2024-07-13 23:12,2024-07-17 16:58,深圳市,宝安区,113.88,22.55,2024-07-20 16:58
CN-AG-202405-11074,油菜籽,四川省,中江县,104.628173,30.987216,2023-10-24,2023-10-24 [育苗移栽] -> 2023-12-15 [越冬防冻肥] -> 2024-02-05 [薹期水肥调节] -> 2024-03-28 [菌核病无人机防治],2024-05-21 13:34,13379.31,中江县第4深加工基地,"104.671914,31.028655",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-25 15:34,2024-05-25 21:11,WH-CN-681,恒温罐区,2024-05-26 05:11,2024-07-03 05:11,避光控温控制,LOG-CN-58043235267,罐式车,"避光, 防氧化",2024-07-03 16:11,2024-07-06 18:03,深圳市,福田区,114.05,22.54,2024-07-08 18:03
CN-AG-202408-11075,花生,山东省,莒南县,118.882748,35.119674,2024-04-14,2024-04-14 [清棵蹲苗] -> 2024-05-08 [培土迎葑] -> 2024-06-01 [钙镁肥补充] -> 2024-06-25 [下针期控旺] -> 2024-07-19 [地下虫害防治],2024-08-13 12:15,24064.58,莒南县第4深加工基地,"118.831732,35.175103",剥壳分选->烘炒->压榨提取->物理精炼,2024-08-14 15:15,2024-08-15 00:54,WH-CN-884,避光库房,2024-08-15 12:54,2024-09-09 12:54,避光控温控制,LOG-CN-64332010255,厢式货车,避光防潮,2024-09-09 20:54,2024-09-13 06:55,西安市,未央区,108.94,34.29,2024-09-14 06:55
CN-AG-202409-11076,花生,河北省,大名县,115.099622,36.319413,2024-05-08,2024-05-08 [清棵蹲苗] -> 2024-06-01 [培土迎葑] -> 2024-06-25 [钙镁肥补充] -> 2024-07-19 [下针期控旺] -> 2024-08-12 [地下虫害防治],2024-09-08 12:11,26820.81,大名县第4深加工基地,"115.152602,36.279537",剥壳分选->烘炒->压榨提取->物理精炼,2024-09-09 17:11,2024-09-10 02:34,WH-CN-431,避光库房,2024-09-10 10:34,2024-10-06 10:34,避光控温控制,LOG-CN-53829014750,厢式货车,避光防潮,2024-10-06 22:34,2024-10-08 07:36,上海市,宝山区,121.48,31.4,2024-10-09 07:36
CN-AG-202410-11077,水稻,湖北省,枣阳市,112.784016,32.169438,2024-06-09,2024-06-09 [播种育秧] -> 2024-07-02 [田间底肥] -> 2024-07-25 [插秧作业] -> 2024-08-17 [分蘖期灌溉] -> 2024-09-09 [除草控虫] -> 2024-10-02 [晒田补肥],2024-10-27 12:02,9994.85,枣阳市第4深加工基地,"112.758818,32.125541",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-28 14:02,2024-10-28 18:08,WH-CN-313,平房仓(准低温),2024-10-29 06:08,2024-12-12 06:08,准低温低氧控制,LOG-CN-28993293195,散粮车,"防潮, 湿度<14%",2024-12-12 19:08,2024-12-14 22:08,北京市,朝阳区,116.48,39.92,2024-12-16 22:08
CN-AG-202410-11078,水稻,安徽省,怀远县,117.245016,32.924922,2024-06-04,2024-06-04 [播种育秧] -> 2024-06-27 [田间底肥] -> 2024-07-20 [插秧作业] -> 2024-08-12 [分蘖期灌溉] -> 2024-09-04 [除草控虫] -> 2024-09-27 [晒田补肥],2024-10-21 12:43,32905.07,怀远县第4深加工基地,"117.193543,32.979419",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-25 14:43,2024-10-25 21:43,WH-CN-607,平房仓(准低温),2024-10-26 04:43,2024-12-12 04:43,准低温低氧控制,LOG-CN-46086881911,散粮车,"防潮, 湿度<14%",2024-12-12 10:43,2024-12-16 12:09,武汉市,洪山区,114.34,30.5,2024-12-19 12:09
CN-AG-202409-11079,水稻,广西壮族自治区,武宣县,109.604834,23.616648,2024-04-20,2024-04-20 [播种育秧] -> 2024-05-13 [田间底肥] -> 2024-06-05 [插秧作业] -> 2024-06-28 [分蘖期灌溉] -> 2024-07-21 [除草控虫] -> 2024-08-13 [晒田补肥],2024-09-06 16:34,23817.32,武宣县第4深加工基地,"109.660326,23.588108",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-10 20:34,2024-09-11 06:30,WH-CN-239,平房仓(准低温),2024-09-11 15:30,2024-10-13 15:30,准低温低氧控制,LOG-CN-78057443175,散粮车,"防潮, 湿度<14%",2024-10-14 00:30,2024-10-19 11:23,上海市,宝山区,121.48,31.4,2024-10-21 11:23
CN-AG-202410-11080,水稻,辽宁省,盘山县,122.092312,41.249677,2024-05-19,2024-05-19 [播种育秧] -> 2024-06-11 [田间底肥] -> 2024-07-04 [插秧作业] -> 2024-07-27 [分蘖期灌溉] -> 2024-08-19 [除草控虫] -> 2024-09-11 [晒田补肥],2024-10-07 08:41,31600.23,盘山县第1深加工基地,"122.039626,41.243445",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-08 10:41,2024-10-08 19:38,WH-CN-619,平房仓(准低温),2024-10-09 05:38,2024-11-05 05:38,准低温低氧控制,LOG-CN-37889016516,散粮车,"防潮, 湿度<14%",2024-11-05 15:38,2024-11-07 18:15,北京市,朝阳区,116.48,39.92,2024-11-10 18:15
CN-AG-202410-11081,水稻,湖北省,钟祥市,112.634064,31.207161,2024-06-05,2024-06-05 [播种育秧] -> 2024-06-28 [田间底肥] -> 2024-07-21 [插秧作业] -> 2024-08-13 [分蘖期灌溉] -> 2024-09-05 [除草控虫] -> 2024-09-28 [晒田补肥],2024-10-21 13:32,5295.01,钟祥市第1深加工基地,"112.58965,31.160441",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-23 16:32,2024-10-23 22:29,WH-CN-737,平房仓(准低温),2024-10-24 06:29,2024-12-03 06:29,准低温低氧控制,LOG-CN-26806826865,散粮车,"防潮, 湿度<14%",2024-12-03 16:29,2024-12-05 04:43,西安市,雁塔区,108.94,34.21,2024-12-08 04:43
CN-AG-202409-11082,花生,山东省,莒南县,118.867726,35.120336,2024-05-07,2024-05-07 [清棵蹲苗] -> 2024-05-31 [培土迎葑] -> 2024-06-24 [钙镁肥补充] -> 2024-07-18 [下针期控旺] -> 2024-08-11 [地下虫害防治],2024-09-01 10:34,35182.48,莒南县第2深加工基地,"118.822644,35.165607",剥壳分选->烘炒->压榨提取->物理精炼,2024-09-05 13:34,2024-09-05 19:02,WH-CN-187,避光库房,2024-09-06 03:02,2024-09-26 03:02,避光控温控制,LOG-CN-16920107584,厢式货车,避光防潮,2024-09-26 10:02,2024-09-30 21:56,北京市,海淀区,116.3,39.96,2024-10-01 21:56
CN-AG-202410-11083,玉米,四川省,三台县,105.107275,31.082783,2024-06-28,2024-06-28 [免耕直播] -> 2024-07-20 [苗期中耕] -> 2024-08-11 [喇叭口期追肥] -> 2024-09-02 [大斑病防治] -> 2024-09-24 [人工授粉辅助],2024-10-15 10:00,17993.1,三台县第2深加工基地,"105.081091,31.087619",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-18 12:00,2024-10-18 14:40,WH-CN-960,现代化圆筒仓,2024-10-18 18:40,2024-11-28 18:40,避光控温控制,LOG-CN-98265178415,重型散粮卡车,"通风良好, 严控高温",2024-11-29 09:40,2024-12-01 12:50,成都市,武侯区,104.04,30.64,2024-12-03 12:50
CN-AG-202410-11084,玉米,吉林省,公主岭市,124.868288,43.531935,2024-07-09,2024-07-09 [免耕直播] -> 2024-07-31 [苗期中耕] -> 2024-08-22 [喇叭口期追肥] -> 2024-09-13 [大斑病防治] -> 2024-10-05 [人工授粉辅助],2024-10-23 17:19,21613.43,公主岭市第4深加工基地,"124.814327,43.517664",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-25 20:19,2024-10-26 05:13,WH-CN-361,现代化圆筒仓,2024-10-26 13:13,2024-12-09 13:13,避光控温控制,LOG-CN-68301330286,重型散粮卡车,"通风良好, 严控高温",2024-12-10 04:13,2024-12-15 02:00,西安市,雁塔区,108.94,34.21,2024-12-18 02:00
CN-AG-202406-11085,小麦,内蒙古自治区,五原县,108.205804,41.093109,2023-10-27,2023-10-27 [深耕整地] -> 2023-12-04 [秋播种子处理] -> 2024-01-11 [越冬水灌溉] -> 2024-02-18 [拔节期追肥] -> 2024-03-27 [条锈病防治] -> 2024-05-04 [干热风防护],2024-06-12 09:31,33995.3,五原县第1深加工基地,"108.266527,41.10641",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-14 12:31,2024-06-14 17:29,WH-CN-136,钢板筒仓,2024-06-14 21:29,2024-07-10 21:29,准低温低氧控制,LOG-CN-49481138561,全封闭货车,"干燥, 禁止异味混载",2024-07-11 09:29,2024-07-12 21:35,深圳市,福田区,114.05,22.54,2024-07-15 21:35
CN-AG-202409-11086,玉米,河北省,藁城区,114.822372,38.04056,2024-06-10,2024-06-10 [免耕直播] -> 2024-07-02 [苗期中耕] -> 2024-07-24 [喇叭口期追肥] -> 2024-08-15 [大斑病防治] -> 2024-09-06 [人工授粉辅助],2024-09-23 14:13,32266.26,藁城区第1深加工基地,"114.841094,38.035996",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-27 16:13,2024-09-27 19:59,WH-CN-708,现代化圆筒仓,2024-09-28 07:59,2024-11-02 07:59,避光控温控制,LOG-CN-43468199801,重型散粮卡车,"通风良好, 严控高温",2024-11-02 15:59,2024-11-03 23:58,西安市,长安区,108.87,34.15,2024-11-04 23:58
CN-AG-202409-11087,玉米,河北省,宁晋县,114.935775,37.659112,2024-05-18,2024-05-18 [免耕直播] -> 2024-06-09 [苗期中耕] -> 2024-07-01 [喇叭口期追肥] -> 2024-07-23 [大斑病防治] -> 2024-08-14 [人工授粉辅助],2024-09-03 17:23,7097.64,宁晋县第4深加工基地,"114.921971,37.625688",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-07 23:23,2024-09-08 06:51,WH-CN-349,现代化圆筒仓,2024-09-08 10:51,2024-09-18 10:51,避光控温控制,LOG-CN-53536200105,重型散粮卡车,"通风良好, 严控高温",2024-09-18 23:51,2024-09-23 05:11,武汉市,江岸区,114.3,30.59,2024-09-24 05:11
CN-AG-202409-11088,水稻,湖南省,安乡县,112.224954,29.399697,2024-05-05,2024-05-05 [播种育秧] -> 2024-05-28 [田间底肥] -> 2024-06-20 [插秧作业] -> 2024-07-13 [分蘖期灌溉] -> 2024-08-05 [除草控虫] -> 2024-08-28 [晒田补肥],2024-09-26 15:13,33454.89,安乡县第5深加工基地,"112.172102,29.410822",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-30 17:13,2024-09-30 21:20,WH-CN-142,平房仓(准低温),2024-10-01 01:20,2024-11-08 01:20,准低温低氧控制,LOG-CN-81911687156,散粮车,"防潮, 湿度<14%",2024-11-08 08:20,2024-11-09 21:33,广州市,天河区,113.33,23.13,2024-11-12 21:33
CN-AG-202410-11089,水稻,安徽省,寿县,116.795078,32.536459,2024-06-02,2024-06-02 [播种育秧] -> 2024-06-25 [田间底肥] -> 2024-07-18 [插秧作业] -> 2024-08-10 [分蘖期灌溉] -> 2024-09-02 [除草控虫] -> 2024-09-25 [晒田补肥],2024-10-16 10:11,33271.01,寿县第1深加工基地,"116.773697,32.571432",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-17 14:11,2024-10-17 19:22,WH-CN-585,平房仓(准低温),2024-10-18 03:22,2024-11-23 03:22,准低温低氧控制,LOG-CN-13583010298,散粮车,"防潮, 湿度<14%",2024-11-23 10:22,2024-11-27 10:32,上海市,闵行区,121.38,31.11,2024-11-30 10:32
CN-AG-202410-11090,水稻,江苏省,射阳县,120.262523,33.69715,2024-05-24,2024-05-24 [播种育秧] -> 2024-06-16 [田间底肥] -> 2024-07-09 [插秧作业] -> 2024-08-01 [分蘖期灌溉] -> 2024-08-24 [除草控虫] -> 2024-09-16 [晒田补肥],2024-10-08 14:03,10042.48,射阳县第2深加工基地,"120.250468,33.755274",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-10 18:03,2024-10-10 23:03,WH-CN-319,平房仓(准低温),2024-10-11 05:03,2024-11-01 05:03,准低温低氧控制,LOG-CN-91223713497,散粮车,"防潮, 湿度<14%",2024-11-01 12:03,2024-11-05 22:28,武汉市,洪山区,114.34,30.5,2024-11-06 22:28
CN-AG-202410-11091,棉花,甘肃省,瓜州县,95.789983,40.477213,2024-04-28,2024-04-28 [覆膜播种] -> 2024-06-03 [人工打顶] -> 2024-07-09 [叶面喷施补硼] -> 2024-08-14 [枯萎病监测] -> 2024-09-19 [喷施脱叶剂],2024-10-24 08:37,19723.32,瓜州县第3深加工基地,"95.768837,40.501602",皮棉清理->锯齿轧花->纤维分级->压力打包,2024-10-27 13:37,2024-10-27 22:55,WH-CN-423,专业纤维库,2024-10-28 09:55,2024-11-18 09:55,避光控温控制,LOG-CN-40470101647,高栏平板车,"严禁烟火, 防静电, 干燥",2024-11-18 15:55,2024-11-20 18:38,南京市,南京浦口区,118.62,32.05,2024-11-21 18:38
CN-AG-202410-11092,玉米,辽宁省,黑山县,122.082135,41.649604,2024-06-16,2024-06-16 [免耕直播] -> 2024-07-08 [苗期中耕] -> 2024-07-30 [喇叭口期追肥] -> 2024-08-21 [大斑病防治] -> 2024-09-12 [人工授粉辅助],2024-10-03 15:38,8720.52,黑山县第1深加工基地,"122.117734,41.684046",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-04 18:38,2024-10-04 23:26,WH-CN-427,现代化圆筒仓,2024-10-05 08:26,2024-11-06 08:26,避光控温控制,LOG-CN-89615912137,重型散粮卡车,"通风良好, 严控高温",2024-11-06 20:26,2024-11-08 00:34,武汉市,洪山区,114.34,30.5,2024-11-09 00:34
CN-AG-202410-11093,水稻,吉林省,前郭县,124.797735,45.056138,2024-06-01,2024-06-01 [播种育秧] -> 2024-06-24 [田间底肥] -> 2024-07-17 [插秧作业] -> 2024-08-09 [分蘖期灌溉] -> 2024-09-01 [除草控虫] -> 2024-09-24 [晒田补肥],2024-10-18 14:48,36774.91,前郭县第5深加工基地,"124.809666,45.110234",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-22 18:48,2024-10-23 01:23,WH-CN-638,平房仓(准低温),2024-10-23 13:23,2024-11-29 13:23,准低温低氧控制,LOG-CN-49811058107,散粮车,"防潮, 湿度<14%",2024-11-29 22:23,2024-12-03 09:47,南京市,玄武区,118.79,32.06,2024-12-04 09:47
